equipmentId,description,type,counter
PE15LBDY0001,Limbo - Deep Yellow,Limbo,0
PE14LBCP0001,Limbo - Coral pink,Limbo,0
PE15LBCP0002,Limbo - Coral pink,Limbo,0
PE13LBTL0001,Limbo - Tulip pink,Limbo,0
PE14LBOP0001,Limbo - Orchid,Limbo,0
PE14LBBE0001,Limbo - Beige,Limbo,0
PE15LBOR0001,Limbo - Orange,Limbo,0
PE14OTAB0001,Blower,Other,0
PE12OTAR0001,Profoto Air Remote,Other,0
PE12OTAR0002,Profoto Air Remote,Other,0
PE12OTAR0003,Profoto Air Remote,Other,0
PE12OTAR0004,Profoto Air Remote,Other,0
PE13OTAR0007,Profoto Air Remote,Other,0
PE15OTAR0008,Profoto Air Remote,Other,0
PE12OTAU0001,Profoto Air USB,Other,0
PE12OTAS0001,A-stand,Other,0
PE12OTAS0002,A-stand,Other,0
PE12OTAS0003,A-stand,Other,0
PE12OTAS0004,A-stand,Other,0
PE12OTGB1001,โกโบ้ 18x12,Other,0
PE12OTGB1002,โกโบ้ 18x12,Other,0
PE12OTGB2001,โกโบ้ 24x18,Other,0
PE12OTGB2002,โกโบ้ 24x18,Other,0
PE12OTGB3001,โกโบ้ 36x24,Other,0
PE12OTGB3002,โกโบ้ 36x24,Other,0
PE15OTGB3003,โกโบ้ 36x24,Other,0
PE15OTGB3004,โกโบ้ 36x24,Other,0
PE12OTKB0001,D1 Kit Bag,Other,0
PE12OTKB0002,D1 Kit Bag,Other,0
PE12OTKB0003,D1 Kit Bag(ล้อลาก),Other,0
PE12OTLB0001,กระเป๋าใส่ขาไฟ,Other,0
PE12OTLB0002,กระเป๋าใส่ขาไฟ,Other,0
PE12OTLB0003,กระเป๋าใส่ขาไฟ,Other,0
PE12OTLB0004,กระเป๋าใส่ขาไฟ,Other,0
PE14OTLB0005,กระเป๋าใส่ขาไฟ,Other,0
PE14OTLB0006,กระเป๋าใส่ขาไฟ,Other,0
PE14OTLB0007,กระเป๋าใส่ขาไฟ,Other,0
PE14OTLB0008,กระเป๋าใส่ขาไฟ,Other,0
PE14OTCB0001,กระเป๋าใส่ Macbook,Other,0
PE13OTLM0001,เครื่องวัดแสง,Other,0
PE12OTPB0001,Pelican size L 1620,Other,0
PE12OTPB0002,Pelican size L 1620,Other,0
PE12OTPC0001,Power cable for Mono,Other,0
PE12OTPC0002,Power cable for Mono,Other,0
PE12OTPC0003,Power cable for Mono,Other,0
PE12OTPC0004,Power cable for Mono,Other,0
PE12OTPC0005,Power cable for pack,Other,0
PE12OTPC0006,Power cable for pack,Other,0
PE12OTPC0007,Power cable for D1/Acute/Compact,Other,0
PE12OTPC0008,Power cable for D1/Acute/Compact,Other,0
PE12OTPC0009,Power cable for D1/Acute/Compact,Other,0
PE13OTPC1001,Power cable for Minicom,Other,0
PE13OTPC1002,Power cable for Minicom,Other,0
PE13OTPC1003,Power cable for pack Broncolor,Other,0
PE13OTPC1004,Power cable for pack Broncolor,Other,0
PE12OTRF2001-123,Reflector 5in1,Other,0
PE12OTRF2002-123,Reflector 5in1,Other,0
PE15OTRF2003-123,Reflector 5in1,Other,0
PE15OTRF2004-123,Reflector 5in1,Other,0
PE13OTTB0001,Tripod bag Manfrotto,Other,0
PE13OTTC1001,Transceiver RSF2 Broncolor,Other,0
PE13OTTC1002,Transceiver RSF2 Broncolor,Other,0
PE13OTUH0001-12,Manfrotto 039 U Hooks,Other,0
YR01,ถุงทรายสีเหลือง-แดง,Other,0
YR02,ถุงทรายสีเหลือง-แดง,Other,0
YR03,ถุงทรายสีเหลือง-แดง,Other,0
YR04,ถุงทรายสีเหลือง-แดง,Other,0
YR05,ถุงทรายสีเหลือง-แดง,Other,0
PG01,ถุงทรายสีชมพู-เขียว,Other,0
PG02,ถุงทรายสีชมพู-เขียว,Other,0
PG03,ถุงทรายสีชมพู-เขียว,Other,0
PG04,ถุงทรายสีชมพู-เขียว,Other,0
PG05,ถุงทรายสีชมพู-เขียว,Other,0
OB01,ถุงทรายสีส้ม-น้ำเงิน,Other,0
OB02,ถุงทรายสีส้ม-น้ำเงิน,Other,0
OB03,ถุงทรายสีส้ม-น้ำเงิน,Other,0
OB04,ถุงทรายสีส้ม-น้ำเงิน,Other,0
OB05,ถุงทรายสีส้ม-น้ำเงิน,Other,0
BG01,ถุงทรายสีดำ-เทา,Other,0
BG02,ถุงทรายสีดำ-เทา,Other,0
BG03,ถุงทรายสีดำ-เทา,Other,0
BG04,ถุงทรายสีดำ-เทา,Other,0
BG05,ถุงทรายสีดำ-เทา,Other,0
BG06,ถุงทรายสีดำ-เทา,Other,0
BG07,ถุงทรายสีดำ-เทา,Other,0
BG08,ถุงทรายสีดำ-เทา,Other,0
BG09,ถุงทรายสีดำ-เทา,Other,0
BG10,ถุงทรายสีดำ-เทา,Other,0
YP01,ถุงทรายสีเหลือง-ม่วง,Other,0
YP02,ถุงทรายสีเหลือง-ม่วง,Other,0
YP03,ถุงทรายสีเหลือง-ม่วง,Other,0
YP04,ถุงทรายสีเหลือง-ม่วง,Other,0
YP05,ถุงทรายสีเหลือง-ม่วง,Other,0
YP06,ถุงทรายสีเหลือง-ม่วง,Other,0
YP07,ถุงทรายสีเหลือง-ม่วง,Other,0
YP08,ถุงทรายสีเหลือง-ม่วง,Other,0
YP09,ถุงทรายสีเหลือง-ม่วง,Other,0
YP10,ถุงทรายสีเหลือง-ม่วง,Other,0
BB01,ถุงทรายฟ้า-น้ำตาล,Other,0
BB02,ถุงทรายฟ้า-น้ำตาล,Other,0
BB03,ถุงทรายฟ้า-น้ำตาล,Other,0
BB04,ถุงทรายฟ้า-น้ำตาล,Other,0
BB05,ถุงทรายฟ้า-น้ำตาล,Other,0
BB06,ถุงทรายฟ้า-น้ำตาล,Other,0
BB07,ถุงทรายฟ้า-น้ำตาล,Other,0
BB08,ถุงทรายฟ้า-น้ำตาล,Other,0
BB09,ถุงทรายฟ้า-น้ำตาล,Other,0
BB10,ถุงทรายฟ้า-น้ำตาล,Other,0
PE14OTOB4001,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE14OTOB4002,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE14OTOB4003,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE14OTOB4004,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE14OTOB4005,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE14OTOB4006,ถุงทราย Mobile (ใส่ทรายเอง),Other,0
PE12OTSM0001,ผ้าสคริม 12x12,Other,0
PE12OTSY0001,Sync Cable for pack,Other,0
PE12OTSY0002,Sync Cable for pack,Other,0
PE13OTSY0003,Sync Cable for pack(mobile),Other,0
PE15OTSY0004,Sync Cable for pack(mobile),Other,0
PE13OTSY1001,Sync Cord 5m Broncolor,Other,0
PE13OTSY1002,Sync Cord 5m Broncolor,Other,0
PE12OTTS0001-12,Radio Slave Trigger set,Other,0
PE12OTTS0002-12,Radio Slave Trigger set,Other,0
PE15OTSF0001,Studio Fan Fokon,Other,0
PE14CMCR0001-12,Card reader and USB,Camera and related,0
PE15CMCB3001,Camera Body Canon 5DMarkIII,Camera and related,0
PE15CMCL0001,Canon Lens 24-70,Camera and related,0
PE15CMCL1001,Canon Lens 70-200,Camera and related,0
PE13CMTP0001,Camera Tripod,Camera and related,0
PE15CMTP0002,Camera Tripod,Camera and related,0
PE13CMGH0001-12,Gear Head for Tripod+plate,Camera and related,0
PE14CMPH0001-12,Pan Head for Tripod+plate,Camera and related,0
PE15CMPH0002-12,Pan Head for Tripod+plate,Camera and related,0
PE13CMIM3001-123,"Computer iMac 27""",Camera and related,0
PE15CMIM3002-123,"Computer iMac 27""",Camera and related,0
PE15CMIM3003-123,"Computer iMac 27""",Camera and related,0
PE14CMMB3001,"Computer Mac Book 17""",Camera and related,0
PE15CMEB0001,External Battery for Mac Book,Camera and related,0
PE14CMRP0001,Repeater,Camera and related,0
PE14CMDW0001-12,External DVD Writer,Camera and related,0
PE14CMUP3001-12,UPS 1000VA/800W+power cable,Camera and related,0
PE15CMUP2001-12,UPS 1000VA/630W+power cable,Camera and related,0
PE15CMWC2001-12,Wacom Intuos Pro,Camera and related,0
OE12TRPL1001,รถเข็นเหล็ก,Misc,0
